URN,LA,Estab,SCHOOLTYPE,NOR,NORG,NORB,PNORG,PNORB,TSENELSE,PSENELSE,TSENELK,PSENELK,NUMEAL,NUMENGFL,NUMUNCFL,PNUMEAL,PNUMENGFL,PNUMUNCLF,NUMFSM,NUMFSMEVER,NORFSMEVER,PNUMFSMEVER
100000,201,3614,State-funded primary,244,112,132,45.9%,54.1%,11,4.5%,59,24.2%,128,116,0,52.5%,47.5%,0.0%,53,50,205,24.4%
100001,201,6005,Independent school,764,764,0,100.0%,0.0%,0,0.0%,100,13.1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100002,201,6006,Independent school,267,103,164,38.6%,61.4%,0,0.0%,20,7.5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100003,201,6007,Independent school,1084,0,1084,0.0%,100.0%,0,0.0%,136,12.5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100005,202,1048,State-funded nursery,123,60,63,48.8%,51.2%,1,0.8%,18,14.6%,29,94,0,23.6%,76.4%,0.0%,43,NA,NA,NA
100006,202,1100,State-funded AP school,20,10,10,50.0%,50.0%,0,0.0%,20,100.0%,6,14,0,30.0%,70.0%,0.0%,12,16,20,80.0%
100007,202,1101,State-funded AP school,18,4,14,22.2%,77.8%,9,50.0%,9,50.0%,6,12,0,33.3%,66.7%,0.0%,17,18,18,100.0%
100008,202,2019,State-funded primary,298,157,141,52.7%,47.3%,12,4.0%,57,19.1%,254,44,0,85.2%,14.8%,0.0%,177,164,273,60.1%
100009,202,2036,State-funded primary,397,194,203,48.9%,51.1%,13,3.3%,64,16.1%,190,207,0,47.9%,52.1%,0.0%,160,150,365,41.1%
100010,202,2065,State-funded primary,308,155,153,50.3%,49.7%,14,4.5%,62,20.1%,171,137,0,55.5%,44.5%,0.0%,194,174,261,66.7%
100011,202,2078,State-funded primary,397,199,198,50.1%,49.9%,5,1.3%,68,17.1%,70,327,0,17.6%,82.4%,0.0%,141,121,342,35.4%
100013,202,2184,State-funded primary,209,95,114,45.5%,54.5%,8,3.8%,61,29.2%,183,26,0,87.6%,12.4%,0.0%,109,101,185,54.6%
100014,202,2219,State-funded primary,229,112,117,48.9%,51.1%,4,1.7%,44,19.2%,104,125,0,45.4%,54.6%,0.0%,108,97,203,47.8%
100015,202,2290,State-funded primary,223,99,124,44.4%,55.6%,6,2.7%,40,17.9%,140,83,0,62.8%,37.2%,0.0%,100,89,197,45.2%
100018,202,2436,State-funded primary,381,178,203,46.7%,53.3%,48,12.6%,91,23.9%,232,149,0,60.9%,39.1%,0.0%,229,211,330,63.9%
100019,202,2438,State-funded primary,342,174,168,50.9%,49.1%,5,1.5%,22,6.4%,244,98,0,71.3%,28.7%,0.0%,69,63,306,20.6%
100020,202,2475,State-funded primary,453,222,231,49.0%,51.0%,34,7.5%,71,15.7%,269,184,0,59.4%,40.6%,0.0%,178,163,398,41.0%
100021,202,2502,State-funded primary,402,203,199,50.5%,49.5%,14,3.5%,111,27.6%,316,86,0,78.6%,21.4%,0.0%,238,225,350,64.3%
100022,202,2507,State-funded primary,412,203,209,49.3%,50.7%,6,1.5%,78,18.9%,376,36,0,91.3%,8.7%,0.0%,226,207,369,56.1%
100023,202,2603,State-funded primary,446,227,219,50.9%,49.1%,27,6.1%,63,14.1%,184,261,1,41.3%,58.5%,0.2%,183,175,408,42.9%
100025,202,2775,State-funded primary,447,210,237,47.0%,53.0%,9,2.0%,49,11.0%,187,260,0,41.8%,58.2%,0.0%,157,154,411,37.5%
100026,202,2797,State-funded primary,231,118,113,51.1%,48.9%,8,3.5%,19,8.2%,170,61,0,73.6%,26.4%,0.0%,25,25,205,12.2%
100027,202,2841,State-funded primary,236,118,118,50.0%,50.0%,9,3.8%,44,18.6%,102,134,0,43.2%,56.8%,0.0%,44,35,210,16.7%
100028,202,3323,State-funded primary,185,97,88,52.4%,47.6%,1,0.5%,13,7.0%,103,82,0,55.7%,44.3%,0.0%,8,8,185,4.3%
100029,202,3327,State-funded primary,194,95,99,49.0%,51.0%,6,3.1%,25,12.9%,102,92,0,52.6%,47.4%,0.0%,89,86,182,47.3%
100030,202,3340,State-funded primary,236,117,119,49.6%,50.4%,9,3.8%,10,4.2%,85,151,0,36.0%,64.0%,0.0%,34,29,210,13.8%
100031,202,3352,State-funded primary,203,97,106,47.8%,52.2%,3,1.5%,16,7.9%,115,88,0,56.7%,43.3%,0.0%,16,16,203,7.9%
100032,202,3359,State-funded primary,174,93,81,53.4%,46.6%,3,1.7%,22,12.6%,86,88,0,49.4%,50.6%,0.0%,89,91,174,52.3%
100033,202,3361,State-funded primary,208,112,96,53.8%,46.2%,4,1.9%,48,23.1%,53,155,0,25.5%,74.5%,0.0%,70,72,208,34.6%
100034,202,3370,State-funded primary,232,115,117,49.6%,50.4%,26,11.2%,30,12.9%,101,131,0,43.5%,56.5%,0.0%,97,87,206,42.2%
100035,202,3391,State-funded primary,309,156,153,50.5%,49.5%,5,1.6%,48,15.5%,159,150,0,51.5%,48.5%,0.0%,126,117,280,41.8%
100036,202,3398,State-funded primary,109,55,54,50.5%,49.5%,10,9.2%,16,14.7%,68,41,0,62.4%,37.6%,0.0%,63,60,103,58.3%
100040,202,3441,State-funded primary,190,95,95,50.0%,50.0%,2,1.1%,26,13.7%,94,96,0,49.5%,50.5%,0.0%,75,76,182,41.8%
100041,202,3482,State-funded primary,165,80,85,48.5%,51.5%,3,1.8%,24,14.5%,80,85,0,48.5%,51.5%,0.0%,70,67,151,44.4%
100042,202,3517,State-funded primary,229,113,116,49.3%,50.7%,10,4.4%,37,16.2%,149,80,0,65.1%,34.9%,0.0%,129,118,203,58.1%
100043,202,3521,State-funded primary,193,112,81,58.0%,42.0%,7,3.6%,36,18.7%,67,126,0,34.7%,65.3%,0.0%,126,119,176,67.6%
100045,202,3560,State-funded primary,144,73,71,50.7%,49.3%,9,6.3%,26,18.1%,72,72,0,50.0%,50.0%,0.0%,93,88,135,65.2%
100046,202,3568,State-funded primary,187,92,95,49.2%,50.8%,1,0.5%,23,12.3%,62,125,0,33.2%,66.8%,0.0%,81,81,187,43.3%
100047,202,3649,State-funded primary,196,102,94,52.0%,48.0%,4,2.0%,30,15.3%,99,97,0,50.5%,49.5%,0.0%,89,89,196,45.4%
